Angels of Death, 10, n
Gellerpox Infected, 2, n
Elucidian Starstriders, 10, y
Kommandos, 0, y
Brood Brothers, 10, n
Canoptek Circle, 1, n
Chaos Cult, 3, y
Deathwatch, 0, n
Farstalker Kinband, 5, n
Fellgore Ravagers, 2, n
Goremongers, 4, n
Imperial Navy Breachers, 10, y
Plague Marines, 4, y
Ratlings, 0, n
Raveners, 0 , n
Tempestus Aquilons, 1, n
Vespid Stingwings, 11, y
Battle Clade, 0, n
